name,suburb,region,type,courts,hours,price,address,website,notes
Docklands Sports Courts (Active Melbourne / YMCA),Docklands,Inner,Outdoor/Multi,2,Mon–Sun: 6:00am – 10:00pm,$23.40 – $34.00,"Harbour Esplanade, Docklands VIC 3008",https://activemelbourne.ymca.org.au,Managed by YMCA. Surcharge for night lighting applies.
North Melbourne Recreation Centre (YMCA),North Melbourne,Inner,Indoor/Multi,1,"Mon–Fri: 6:00am – 10:00pm, Sat–Sun: 8:00am – 6:00pm",$64.30/hr (Court hire) · $4.30/hr (Casual shoot),"204-206 Arden St, North Melbourne VIC 3051",https://nmrc.ymca.org.au,One-court stadium. Booking essential for team hire.
Melbourne Sports Centres – MSAC (Albert Park),Albert Park,Inner,Indoor/Multi,10+,"Mon–Fri: 5:30am – 9:00pm, Sat–Sun: 7:00am – 8:00pm",Casual shooting available (prices vary),"30 Aughtie Dr, Albert Park VIC 3206",https://statesportcentres.com.au/venues/msac-stadiums/,Cashless venue. Booking via client portal recommended.
Hoop City – Port Melbourne,Port Melbourne,Inner,Indoor/Specialist,Multi,"Mon–Fri: 6:00am – 10:00pm, Sat–Sun: 8:00am – 6:00pm",$70/hr (Half) · $140/hr (Full),"1/280-282 Ferrars St, South Melbourne VIC 3205",https://www.hoopcity.com.au,High-tech training facility. Shooting/dribbling bays also available.
Narrandjeri Stadium (Darebin Stadiums),Thornbury,North,Indoor,4,"Mon–Fri: 6:00am – 10:00pm, Sat: 8:00am – 10:30pm, Sun: 8:00am – 9:00pm",$54.00 – $67.50/hr,"281 Darebin Rd, Thornbury VIC 3071",https://darebinstadiums.com.au,New premier facility. Multi-sport capabilities.
Darebin Community Sports Stadium,Reservoir,North,Indoor/Outdoor,"4 Indoor, 5 Outdoor","Mon–Fri: 9:00am – 10:30pm, Sat: 8:00am – 6:30pm, Sun: 9:00am – 8:30pm",$54.00 – $67.50/hr,"857 Plenty Rd, Reservoir VIC 3073",https://darebinstadiums.com.au,Outdoor courts often available for casual walk-ins.
Aqualink Box Hill,Box Hill,East,Indoor,2,"Mon–Fri: 6:00am – 10:00pm, Sat–Sun: 8:00am – 8:00pm",$48.80 – $66.80/hr,"31 Surrey Dr, Box Hill VIC 3128",https://www.aqualink.com.au,Court hire subject to stadium competition bookings.
Sportlink Vermont South,Vermont South,East,Indoor/Outdoor,"4 Indoor, 4 Outdoor","Mon–Fri: 9:00am – 11:00pm, Sat–Sun: 8:00am – 10:00pm",Indoor: $48.80 – $66.80/hr,"2 Hanover Rd, Vermont South VIC 3133",https://www.sportlink.org.au,Outdoor courts available at lower rates (~$17-$20).
Dandenong Stadium,Dandenong,South-East,Indoor,15+,"Mon–Fri: 9:00am – 11:00pm, Sat–Sun: 8:00am – 8:00pm",$15.00 (Casual shoot per person),"270 Lonsdale St, Dandenong VIC 3175",https://dandenongstadium.com.au,One of the largest stadiums in the Southern Hemisphere.
Casey Stadium,Cranbourne East,South-East,Indoor,10,"Mon–Fri: 6:00am – 10:00pm, Sat–Sun: 8:00am – 8:00pm",$6.00 (Casual shooting),"65 Berwick-Cranbourne Rd, Cranbourne East VIC 3977",https://caseyleisure.com.au,Large regional facility managed by Aligned Leisure.
