name,suburb,region,Type,Courts,hours,price,Address,booking,Notes
MSAC Badminton (State Sports Centre),Albert Park,Inner,Dedicated,12.0,"Mon–Fri 6:30am–10:30pm, Sat–Sun 7:00am–8:00pm",$27.50 per hour (inclusive of GST),"Batman Ave, Albert Park VIC 3206",https://statesportcentres.com.au/sports/badminton/,Purpose-built courts. Pre-book & pre-pay online. Sessions may be 50 min.
University of Melbourne Sport (Nona Lee SC),Parkville,Inner,Multi-purpose,4.0,"Mon–Fri 6:30am–10:00pm, Sat–Sun 8:00am–8:00pm",$20.00 per hour (Student discounts apply),"Nona Lee Sports Centre, Uni of Melbourne, Parkville VIC 3010",https://sport.unimelb.edu.au/court-venue-hire/court-hire,Free 'Quick Hits' walk-up for students Mon–Fri 9–11am (subject to availability).
Melbourne Badminton Centre (MBC),Blackburn North,East,Dedicated,6.0,Daily 7:00am – 1:00am,"Wkday: $20 (7-9am), $26 (9-4:30pm), $34 (4:30-10pm); Wkend: $34 (8am-10pm)","6/16 Joseph St, Blackburn North VIC 3130",https://melbournebadminton.com,Peak from 4:30pm wkdays & all wkend/PH. Racquet hire $4/hr. Pro shop on-site.
Doncaster Badminton Centre (YMCA),Doncaster,East,Multi-purpose,6.0,"Mon–Fri 8:00am–11:00pm, Sat–Sun 8:00am–10:00pm",$26.50 per hour (Peak); $21.20 per hour (Off-Peak),"Manningham Stadiums, 180 Ruffey Lake Dr, Doncaster VIC 3108",https://manninghamstadiums.com.au,"Council-owned (Manningham City Council), run by YMCA Victoria. Home of Doncaster Templestowe Badminton Assoc."
SmashX (Mount Waverley Badminton Centre),Mount Waverley,East,Dedicated,6.0,Daily 10:00am – 11:00pm,$35.00 per session (Non-Member),Mount Waverley VIC 3149,https://smashx.com.au,"World-class Yonex mats, LED lighting. Coaching programs and group bookings available."
Boroondara Sports Complex,Hawthorn,East,Multi-purpose,,"Mon–Fri 5:30am–10:00pm, Sat–Sun 7:00am–8:00pm",$22.90 per hour,"Boroondara Sports Complex, Hawthorn VIC 3122",https://www.boroondara.vic.gov.au/recreation-parks/boroondara-sports-complex,Multi-purpose. Council-run community hub with indoor sports competitions.
Knox Indoor Sports (Wantirna South),Wantirna South,East,Multi-purpose,,Daily (Check specific stadium availability),$22.00 per hour,Wantirna South VIC 3152,https://www.knoxindoorsports.com.au,Multi-purpose venue with online booking. Badminton available.
Manningham DISC (Donvale),Donvale,East,Multi-purpose,,Daily (Subject to stadium bookings),$26.50 per hour (Peak); $21.20 per hour (Off-Peak),"Manningham DISC, Donvale VIC 3111",https://manninghamstadiums.com.au,"Part of Manningham Stadiums network. Online booking, equipment rental."
Altona Badminton Centre (WSBA),Altona North,West,Dedicated,12.0,"Mon–Fri 10am–11pm, Sat 9am–11pm, Sun 9am–10pm",Off-Peak: $16/hr; Peak: $27/hr (Non-Member),"217 Mason St, Altona North VIC 3025",https://wsbaonline.com.au,"Sprung wood floor, pro-shop, kiosk. Social play Sundays $13–$15/session. Premier Badminton Specific Stadium in Victoria."
Sports Point,Altona North,West,Dedicated,14.0,"Mon–Fri 10am–11pm, Sat–Sun 9am–11pm",Off-Peak: $16/hr; Peak: $29/hr (Non-Member),"64–66 McArthurs Rd, Altona North VIC 3025",https://www.sportspoint.com.au,"14 tournament-grade courts. Also offers pickleball, table tennis, cue sports. Online booking available."
Play Badminton (Maribyrnong),Maribyrnong,West,Dedicated,6.0,"Wkday 5:00pm–10:00pm, Sat 9am–1pm, Sun 2pm–9pm",$25.00 per hour (Casual),"Maribyrnong College Sports Academy, Maribyrnong VIC 3032",https://www.playbadminton.com.au,"6 international-standard courts in Maribyrnong College sports academy. Social play, casual hire."
RecWest Braybrook,Braybrook,West,Multi-purpose,3.0,"Mon–Fri 6am–10pm, Sat 8am–6pm, Sun 9am–5pm",$25.00 per hour,"RecWest, Braybrook VIC 3019",https://www.recwest.org.au,"3-court multi-purpose stadium (badminton, basketball, netball, soccer, volleyball)."
RecWest (YMCA) West Footscray,West Footscray,West,Multi-purpose,1.0,Mon–Thu 6am–9pm; Fri 6am–8pm; Sat 8am–2pm; Sun 8am–4pm,$25.00 per hour (Approx),West Footscray VIC 3012,https://www.recwest.org.au,1 multi-purpose court. YMCA-operated. Online booking available.
Badminton & Table Tennis Connect (BTTC),Truganina,West,Dedicated,24.0,Daily 10:00am – 11:00pm,Off-Peak (Wkday 10-6): $16/hr; Peak/Wkend: $24/hr,"6/4 Infinity Dr, Truganina VIC 3029",https://bttc.com.au,"Largest badminton centre in Melbourne. 24 courts + 6 table tennis courts. Free lockers, car park, phone chargers."
Badminton Connect – Truganina,Truganina,West,Dedicated,12.0,Wkdays 9:00am–11:00pm; Wkend 8:00am–11:00pm,Off-Peak (10am-6pm): $16/hr; Peak/Wkend: $24/hr,Truganina VIC 3029,https://badmintonconnect.com.au,"Competition-grade courts. Social groups, coaching, pro shop."
Badminton Culture Club (Ravenhall),Ravenhall,West,Social Club,,Contact venue,Contact venue,Ravenhall VIC 3023,https://www.badmintoncourt.au/melbourne/venue/badminton-culture-club,Digital booking platform. Open to all ages and skill levels.
Caroline Springs Leisure Centre,Caroline Springs,West,Multi-purpose,,Contact venue,Contact venue,Caroline Springs VIC 3023,https://www.carolinespringsleisure.com.au,Multi-purpose courts with social badminton sessions. Modern facility with ample parking.
Cobblebank Indoor Stadium,Cobblebank (Melton),Outer West,Social Club,,"Fri 7:00pm–9:00pm, Sat 6:00pm–8:00pm",Court Hire: $20.00 per hour; Social Play: $9.00 per person,"Cobblebank Stadium, Cobblebank VIC 3338",https://www.revolutionise.com.au/cobblebank,"Melton City Badminton Club. Social play + court hire. Membership: Individual $30/yr, Family $60/yr."
Heidelberg Badminton Centre,Heidelberg,North,Dedicated,,Contact venue,Contact venue,Heidelberg VIC 3084,https://www.badmintoncourt.au/melbourne/venue/heidelberg-badminton-centre,"Newer purpose-built facility, ~15 min from CBD. Family friendly."
Narrandjeri Stadium (Thornbury),Thornbury,North,Multi-purpose,4.0,Daily (Check online booking system),Peak: $31.00/hr; Off-Peak: $25.50/hr,"John Cain Memorial Park, Thornbury VIC 3071",https://www.narrandjeristadium.com.au,Purpose-built multi-sport. Includes 300+ seat showcase court. Online booking.
Darebin Community Sports Stadium,Reservoir,North,Multi-purpose,4.0,Daily (Subject to stadium bookings),Peak: $31.00/hr; Off-Peak: $25.50/hr,"Plenty Rd (next to Reservoir High), Reservoir VIC 3073",https://www.darebin.vic.gov.au,4-court indoor stadium + mezzanine area. Mezzanine available for community use.
Action Indoor Sports (Epping),Epping,North,Multi-purpose,,"Mon–Fri 10am–10pm, Sat–Sun 9am–6pm",$40.00 per hour (Casual),Epping VIC 3076,https://www.actionindoorsports.com.au,Casual hire and social sports bookings. Lounge and bar areas available.
Badminton Connect – Noble Park,Noble Park,South-East,Dedicated,12.0,Wkdays 9:00am–11:00pm; Wkend 8:00am–11:00pm,Off-Peak (10am-6pm): $16/hr; Peak/Wkend: $24/hr,"Rear Service Rd 7, 450 Princes Hwy, Noble Park VIC 3174",https://badmintonconnect.com.au,Competition-grade courts. Social sessions Mon & Tue. Pro shop. Coaching available.
Badminton Connect – Hallam,Hallam,South-East,Dedicated,12.0,Wkdays 4:00pm–11:00pm; Wkend 8:00am–11:00pm,Off-Peak: $16/hr; Peak: $24/hr,"22 Technology Circuit, Hallam VIC 3803",https://badmintonconnect.com.au,"Competition-grade courts. Restringing services, pro shop, coaching."
Badminton Near Me,Clayton,South-East,Dedicated,24.0,"Mon–Sat 10:00am–11:00pm, Sun 10:00am–9:30pm",Mon–Fri < 6pm: $19/hr; After 6pm/Wkend: $28/hr,Clayton VIC 3168,https://www.badmintonnearme.com.au,BWF-approved courts. Automated access via SMS during off-staffed hours. Competitions and coaching.
Monash Sport – Clayton (Northern Pavilion),Clayton,South-East,Multi-purpose,10.0,Mon–Fri 6:00am–11:00pm; Sat–Sun 7:00am–9:00pm,$34.50 per hour (Public rate),"Monash University, Wellington Rd, Clayton VIC 3168",https://www.monash.edu/sport/facilities/courts,"10 multi-purpose courts. Open to community, schools, sporting clubs. Hosts state & national events."
Monash Sport – Caulfield,Caulfield,South-East,Multi-purpose,,Mon–Fri 6:00am–10:00pm; Sat–Sun 9:00am–5:00pm,$34.50 per hour (Public rate),"Monash University Caulfield, Caulfield VIC 3145",https://www.monash.edu/sport/facilities,Equipment hire at Monash Sport Service desk on campus.
David Collings Stadium (Mornington),Mornington,South,Multi-purpose,8.0,Contact venue,Contact venue,Mornington VIC 3931,https://www.mornpen.vic.gov.au/Recreation-leisure/Sporting-facilities,8 multi-purpose courts. Social badminton sessions. Equipment hire and online booking.
Mornington Peninsula Badminton Inc.,Frankston South,South,Social Club,,Thu 9:30am–12:30pm; Sat 4pm–6pm,Contact venue,Frankston South VIC 3199,https://www.badmintoncourt.au/melbourne/venue/mornington-peninsula-badminton-inc,Badminton-only social club. Coaching available. Social play sessions.
MAD Badminton Academy,Springvale South,South-East,Academy,,Daily 10:00am–10:00pm,$15.00 per social session; Private hire on request,Springvale South VIC 3172,https://www.madacademy.com.au,Academy-style facility. Coaching available for all levels.
